ID MEMBER,NO TANDA PENGENAL,NAMA MEMBER,JENIS KELAMIN,ALAMAT
212019,212019,clone 1,Perempuan,Cloning Centre
211920,211920,clone 2,Laki-Laki,Cloning Centre
212021,212021,clone 3,Perempuan,Cloning Centre
212121,212121,clone 4,Laki-Laki,Cloning Centre
212321,212321,clone 5,Perempuan,Cloning Centre
212223,212223,clone 6,Laki-Laki,Cloning Centre
212324,212324,clone 7,Perempuan,Cloning Centre
212425,212425,clone 8,Laki-Laki,Cloning Centre
212526,212526,clone 9,Perempuan,Cloning Centre
212627,212627,clone 10,Laki-Laki,Cloning Centre
212728,212728,clone 11,Perempuan,Cloning Centre
